"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.623203130E-1,-4.231038690E-1,3.066282272E-1,3.090410233E-1
5.673203130E-1,-1.029045224E0,2.679281235E-1,-2.613162994E-2
5.723203130E-1,-1.000273466E0,2.629716396E-1,-1.434526443E-1
5.773203130E-1,-6.136252880E-1,2.005565166E-1,-3.853807449E-1
5.823203130E-1,-2.016506493E-1,1.197874546E-1,-6.495780945E-1
5.873203130E-1,1.091937572E-1,2.050328255E-2,-7.087545395E-1
5.923203130E-1,3.413447142E-1,-5.638933182E-2,-7.003517151E-1
5.973203130E-1,4.420922399E-1,-1.293566227E-1,-6.983289719E-1
6.023203130E-1,4.619484246E-1,-1.561238766E-1,-7.058181763E-1
6.073203130E-1,4.812009931E-1,-9.507012367E-2,-7.574930191E-1
6.123203130E-1,3.957927823E-1,5.582022667E-2,-8.230466843E-1
6.173203130E-1,4.240605235E-1,1.807413101E-1,-1.035579681E0
6.223203130E-1,3.923384547E-1,7.544231415E-2,-1.078868866E0
6.273203130E-1,6.281355619E-1,-3.342576027E-1,-7.991399765E-1
6.323203130E-1,5.658053160E-1,-4.676337242E-1,-6.059036255E-1
6.373203130E-1,3.373085260E-1,-5.614132881E-1,-6.249761581E-1
6.423203130E-1,1.388920695E-1,-8.259675503E-1,-5.724334717E-1
6.473203130E-1,2.023722231E-2,-1.057244301E0,-2.669677734E-1
6.523203130E-1,-6.837037206E-2,-9.270371199E-1,2.696552277E-1
6.573203130E-1,-1.848085374E-1,-4.078116417E-1,6.288671494E-1
6.623203130E-1,-2.103577256E-1,-1.150772572E-1,6.278057098E-1
6.673203130E-1,-3.275057077E-1,-2.890274525E-1,4.613885880E-1
6.723203130E-1,-5.194454193E-1,-2.174150944E-1,1.386165619E-1
6.773203130E-1,-6.381623745E-1,9.400582314E-2,4.612064362E-2
6.823203130E-1,-5.843869448E-1,2.998774052E-1,-6.910991669E-2
6.873203130E-1,-3.373546004E-1,1.662445068E-1,-4.045391083E-2
6.923203130E-1,-4.253566861E-1,-3.227856159E-1,-5.492973328E-1
6.973203130E-1,-4.763568640E-1,6.069993973E-2,-2.985992432E-1
7.023203130E-1,-4.230644107E-1,1.476621628E-1,-6.116876602E-1
7.073203130E-1,-2.753814459E-1,2.288513184E-1,-5.851783752E-1
7.123203130E-1,-1.793591678E-2,-1.194667816E-2,-8.636894226E-1
7.173203130E-1,-1.189009547E-1,-5.988738537E-1,-1.289673805E0
7.223203130E-1,-4.013723731E-1,-7.786139250E-1,-1.162929535E0
7.273203130E-1,-3.887942433E-1,-9.041397572E-1,-1.070492744E0
7.323203130E-1,-2.556889057E-1,-9.850598574E-1,-5.893211365E-1
7.373203130E-1,-2.465992570E-1,-5.567626953E-1,3.978443146E-2
7.423203130E-1,4.219402671E-1,-2.752578259E-1,-2.344322205E-2
7.473203130E-1,2.331812382E-1,-6.567406654E-2,1.353673935E-1
7.523203130E-1,-2.831133604E-1,2.066633701E-1,2.485818863E-1
7.573203130E-1,-1.146981120E-1,5.043525696E-1,1.832532883E-1
7.623203130E-1,1.141784638E-1,7.436463833E-1,4.235744476E-2
7.673203130E-1,2.914579958E-2,8.034698963E-1,3.901481628E-2
