"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.545300523E1,6.508401993E1,2.568429742E1,3.845651367E1,1.409999967E0,5.150000000E1,3.790092468E0,2.500000000E0
8.645318335E1,6.508402801E1,2.568431826E1,3.851864454E1,1.379999995E0,5.020000076E1,3.790092468E0,2.500000000E0
8.745352778E1,6.508403588E1,2.568434069E1,3.868758688E1,1.330000043E0,5.109999847E1,3.790092468E0,2.500000000E0
8.845319898E1,6.508404485E1,2.568436274E1,3.890456369E1,1.429999948E0,4.820000076E1,3.790092468E0,2.500000000E0
8.945287809E1,6.508405375E1,2.568438170E1,3.874043718E1,1.350000024E0,4.620000076E1,3.790092468E0,2.500000000E0
9.045370429E1,6.508406397E1,2.568439691E1,3.882447956E1,1.360000014E0,3.550000000E1,3.790092468E0,2.500000000E0
9.145345049E1,6.508407527E1,2.568441173E1,3.894758424E1,1.350000024E0,3.379999924E1,3.790092468E0,2.500000000E0
9.245320444E1,6.508408729E1,2.568442271E1,3.904316214E1,1.360000014E0,2.389999962E1,3.790092468E0,2.500000000E0
9.345340127E1,6.508409931E1,2.568442981E1,3.913709232E1,1.330000043E0,1.600000000E1,3.790092468E0,2.500000000E0
9.445362976E1,6.508411132E1,2.568443429E1,3.926428683E1,1.330000043E0,1.350000000E1,3.790092468E0,2.500000000E0
9.545351283E1,6.508412440E1,2.568443757E1,3.950244309E1,1.399999976E0,8.899999619E0,3.790092468E0,2.500000000E0
9.645343554E1,6.508413644E1,2.568443869E1,3.964715488E1,1.370000005E0,6.500000000E0,3.790092468E0,2.500000000E0
9.745303413E1,6.508414791E1,2.568443715E1,3.965942065E1,1.279999971E0,3.596000061E2,3.790092468E0,2.500000000E0
9.845337314E1,6.508415983E1,2.568443472E1,3.975969908E1,1.340000033E0,3.588999939E2,3.790092468E0,2.500000000E0
9.945376001E1,6.508417200E1,2.568443086E1,3.983361035E1,1.379999995E0,3.568999939E2,3.790092468E0,2.500000000E0
1.004537191E2,6.508418436E1,2.568442630E1,3.999931850E1,1.389999986E0,3.551000061E2,3.790092468E0,2.500000000E0
1.014529685E2,6.508419764E1,2.568442119E1,4.011265833E1,1.409999967E0,3.565000000E2,3.790092468E0,2.500000000E0
1.024534779E2,6.508421023E1,2.568441399E1,4.039238026E1,1.460000038E0,3.542999878E2,3.790092468E0,2.500000000E0
1.034530204E2,6.508422312E1,2.568440909E1,4.039603998E1,1.509999990E0,3.515000000E2,3.790092468E0,2.500000000E0
1.044529076E2,6.508423594E1,2.568440339E1,4.042350347E1,1.500000000E0,3.507000122E2,3.790092468E0,2.500000000E0
1.054534040E2,6.508424914E1,2.568439601E1,4.039127460E1,1.490000010E0,3.493999939E2,3.790092468E0,2.500000000E0
1.064531096E2,6.508426248E1,2.568438906E1,4.034360378E1,1.450000048E0,3.485000000E2,3.790092468E0,2.500000000E0
1.074528683E2,6.508427603E1,2.568438222E1,4.045700469E1,1.480000019E0,3.471000061E2,3.790092468E0,2.500000000E0
1.084537466E2,6.508429006E1,2.568437332E1,4.058761753E1,1.480000019E0,3.461000061E2,3.790092468E0,2.500000000E0
1.094532403E2,6.508430321E1,2.568436574E1,4.047274708E1,1.490000010E0,3.526000061E2,3.790092468E0,2.500000000E0
1.104528869E2,6.508431724E1,2.568436414E1,4.070248059E1,1.519999981E0,3.599989929E2,3.790092468E0,2.500000000E0
1.114528754E2,6.508433075E1,2.568436940E1,4.066671086E1,1.539999962E0,1.069999981E1,3.790092468E0,2.500000000E0
1.124531020E2,6.508434392E1,2.568438281E1,4.057484942E1,1.509999990E0,2.350000000E1,3.790092468E0,2.500000000E0
1.134533962E2,6.508435581E1,2.568440202E1,4.069429161E1,1.509999990E0,3.459999847E1,3.790092468E0,2.500000000E0
1.144528736E2,6.508436681E1,2.568442573E1,4.080482259E1,1.529999971E0,4.440000153E1,3.790092468E0,2.500000000E0
1.154534908E2,6.508437673E1,2.568445329E1,4.087446001E1,1.529999971E0,5.009999847E1,3.790092468E0,2.500000000E0
1.164532406E2,6.508438663E1,2.568448043E1,4.101440996E1,1.539999962E0,4.709999847E1,3.790092468E0,2.500000000E0
1.174536514E2,6.508439714E1,2.568450545E1,4.108990678E1,1.519999981E0,4.340000153E1,3.790092468E0,2.500000000E0
1.184534965E2,6.508440879E1,2.568452981E1,4.109094052E1,1.629999995E0,4.220000076E1,3.790092468E0,2.500000000E0
1.194532347E2,6.508442133E1,2.568455173E1,4.118804355E1,1.659999967E0,3.690000153E1,3.790092468E0,2.500000000E0
1.204529972E2,6.508443384E1,2.568456953E1,4.128209507E1,1.549999952E0,2.989999962E1,3.790092468E0,2.500000000E0
1.214534742E2,6.508444708E1,2.568458681E1,4.138450829E1,1.590000033E0,2.979999924E1,3.790092468E0,2.500000000E0
1.224537996E2,6.508446006E1,2.568460298E1,4.144602807E1,1.580000043E0,2.970000076E1,3.790092468E0,2.500000000E0
1.234533941E2,6.508447336E1,2.568461760E1,4.169437650E1,1.580000043E0,2.439999962E1,3.790092468E0,2.500000000E0
1.244533987E2,6.508448665E1,2.568463159E1,4.187442662E1,1.580000043E0,2.320000076E1,3.790092468E0,2.500000000E0
1.254530721E2,6.508450021E1,2.568464242E1,4.200479426E1,1.559999943E0,2.070000076E1,3.790092468E0,2.500000000E0
1.264538314E2,6.508451275E1,2.568465512E1,4.215042078E1,1.519999981E0,2.429999924E1,3.790092468E0,2.500000000E0
1.274535066E2,6.508452675E1,2.568466611E1,4.255709447E1,1.570000052E0,1.829999924E1,3.790092468E0,2.500000000E0
1.284532476E2,6.508454049E1,2.568467484E1,4.273299442E1,1.549999952E0,1.910000038E1,3.790092468E0,2.500000000E0
1.294530321E2,6.508455441E1,2.568468196E1,4.301424111E1,1.539999962E0,1.700000000E1,3.790092468E0,2.500000000E0
1.304531471E2,6.508456714E1,2.568469084E1,4.313868862E1,1.509999990E0,1.770000076E1,3.790092468E0,2.500000000E0
1.314536460E2,6.508458118E1,2.568469955E1,4.342213246E1,1.529999971E0,1.660000038E1,3.790092468E0,2.500000000E0
1.324530602E2,6.508459517E1,2.568470760E1,4.366407244E1,1.519999981E0,1.380000019E1,3.790092468E0,2.500000000E0
1.334535142E2,6.508460867E1,2.568471563E1,4.376190852E1,1.529999971E0,1.750000000E1,3.790092468E0,2.500000000E0
1.344530015E2,6.508462241E1,2.568472493E1,4.388013021E1,1.529999971E0,1.700000000E1,3.790092468E0,2.500000000E0
1.354532429E2,6.508463603E1,2.568473700E1,4.376281710E1,1.509999990E0,1.889999962E1,3.790092468E0,2.500000000E0
1.364532691E2,6.508464990E1,2.568474822E1,4.398034285E1,1.529999971E0,2.020000076E1,3.790092468E0,2.500000000E0
1.374531290E2,6.508466352E1,2.568475949E1,4.406011231E1,1.539999962E0,1.929999924E1,3.790092468E0,2.500000000E0
1.384532077E2,6.508467754E1,2.568477027E1,4.415062390E1,1.559999943E0,1.770000076E1,3.790092468E0,2.500000000E0
1.394529947E2,6.508469120E1,2.568478175E1,4.438475125E1,1.539999962E0,1.910000038E1,3.790092468E0,2.500000000E0
1.404534426E2,6.508470528E1,2.568479301E1,4.454716221E1,1.580000043E0,1.729999924E1,3.790092468E0,2.500000000E0
1.414529099E2,6.508471855E1,2.568480278E1,4.473618476E1,1.559999943E0,1.750000000E1,3.790092468E0,2.500000000E0
1.424530718E2,6.508473165E1,2.568481161E1,4.494296863E1,1.539999962E0,1.650000000E1,3.790092468E0,2.500000000E0
1.434536749E2,6.508474472E1,2.568482022E1,4.518252840E1,1.559999943E0,1.970000076E1,3.790092468E0,2.500000000E0
1.444531837E2,6.508475737E1,2.568483191E1,4.527651922E1,1.529999971E0,2.460000038E1,3.790092468E0,2.500000000E0
1.454531704E2,6.508477020E1,2.568484354E1,4.551827613E1,1.549999952E0,1.910000038E1,3.790092468E0,2.500000000E0
